Area Code,Structure Name,Struc Type Code,Bus Asc Name,Install Date,Removal Date,Latitude,Longitude,Install Date
AC,A(Perdido),SPAR,Shell Offshore Inc.,11/12/2009,,26.12890071,-94.89791489,2009
AC,A-Hoover Spar,SPAR,Exxon Mobil Corporation,4/25/2000,,26.93905139,-94.68872137,2000
EB,A(NANSEN SPAR),SPAR,Anadarko Petroleum Corporation,11/10/2001,,27.3671371,-94.46765355,2001
EB,A-Boomvang Spar,SPAR,Anadarko Petroleum Corporation,4/28/2002,,27.35356527,-94.62531327,2002
GB,A-Gunnison Spar,SPAR,Anadarko Petroleum Corporation,12/9/2003,,27.30383941,-93.53830635,2003
GB,A-Red Hawk Spar,SPAR,Anadarko Petroleum Corporation,4/2/2004,9/20/2014,27.12105805,-91.95846083,2004
GC,A (Constitution,SPAR,Anadarko Petroleum Corporation,12/27/2005,,27.29220815,-90.96802088,2005
GC,A(MAD DOG SPAR),SPAR,BP Exploration & Production Inc.,7/30/2004,,27.18836886,-90.26871119,2004
GC,A-Tahiti-SPAR,SPAR,Chevron U.S.A. Inc.,8/8/2008,,27.325908,-90.71415254,2008
GC,A-Genesis Spar,SPAR,Chevron U.S.A. Inc.,7/21/1998,,27.77925703,-90.51890764,1998
GC,A(HOLSTEIN SPAR,SPAR,Anadarko Petroleum Corporation,6/3/2004,,27.32122996,-90.53546944,2004
GC,A-Front Runner,SPAR,Murphy Exploration & Production Company - USA,8/2/2004,,27.62484093,-90.44104746,2004
GC,A (Heidelberg),SPAR,Anadarko Petroleum Corporation,1/7/2016,,27.11142926,-90.76396349,2016
KC,A (Lucius),SPAR,Anadarko Petroleum Corporation,3/17/2014,,26.13196228,-92.04008253,2014
MC,Gulfstar 1,SPAR,Hess Corporation,3/9/2014,,28.23497328,-88.99536265,2014
MC,A-Medusa Spar,SPAR,Murphy Exploration & Production Company - USA,8/8/2003,,28.39240104,-89.45346089,2003
MC,A(DEVILS TOWER,SPAR,Eni US Operating Co. Inc.,2/19/2004,,28.20875531,-88.73747383,2004
MC,A(HORN MOUNTAIN,SPAR,Anadarko Petroleum Corporation,6/29/2002,,28.86601399,-88.05626441,2002
VK,A-Neptune Spar,SPAR,Fieldwood Energy LLC,11/19/1996,,29.16345432,-87.98775824,1996
